CLEAR MAP 1								
Total pixels 	1985							
								
Name of beamline feature	Real distance (m)	Pixels from left end	Pixel fraction					
"CA.VESPER$START"	0	1918	0.966246851					
"CA.DHG0130"	0.3895	1764	0.888664987					
"CA.ICT0210"	1.4996	1675	0.843828715					
"CA.BTV0215"	1.8095	1605	0.808564232					
"CA.BPC0220"	2.057	1541	0.776322418					
"CA.DHG0225"	2.249	1504	0.75768262					
"CA.ACS0230E"	2.3504	1482	0.746599496					
"CA.ACS0230"	6.9224	1350	0.680100756					
"CA.BPC0240"	7.2156	1317	0.663476071					
"CA.DHG0245"	7.4046	1280	0.644836272					
"CA.ACS0250E"	7.5091	1246	0.627707809					
"CA.ACS0250"	12.0811	1112	0.560201511					
"CA.BPC0260"	12.3744	1080	0.544080605					
"CA.DHG0265"	12.5634	1044	0.525944584					
"CA.ACS0270E"	12.6679	1011	0.509319899					
"CA.ACS0270"	17.2399	876	0.441309824					
"CA.BPC0310"	17.5664	843	0.424685139					
"CA.DHG0320"	17.7669	807	0.406549118					
"CA.SDV0340"	18.0264	752	0.37884131					
"CA.QFD0350"	18.5094	666	0.335516373					
"CA.QDD0355"	18.9494	607	0.305793451					
"CA.QFD0360"	19.3894	548	0.276070529					
"CA.DHG0385"	20.0519	429	0.216120907					
"CA.BTV0390"	20.5964	383	0.192947103					
"CA.BHB0400"	21.48011206	324	0.163224181					
"CAS.BTV0420"	21.98933715	252	0.126952141					
"CAS.ICT0430"	22.04168715	191	0.096221662					
"CA.VESPER$END"	22.5	31	0.015617128					
								
								
								
								
CLEAR MAP 2								
Total pixels 	1976							
								
Name of beamline feature	Real distance (m)	Pixels from left end	Pixel fraction					
"CA.BHB0400"	21.48011206	9740	0.973026973
"CA.QFD0510"	22.4794	9500	0.949050949
"CA.QDD0515"	22.9794	9271	0.926173826
"CA.QFD0520"	23.4794	9029	0.901998002
"CA.BPM0530"	23.8384	8795	0.878621379
"CA.DHJ0540"	24.0384	8552	0.854345654
"CA.DHJ0590"	25.2654	7609	0.76013986
"CA.BPM0595"	25.5184	7378	0.737062937
"CA.BTV0620"	25.9344	6459	0.645254745
"CA.BPM0690"	28.8084	5400	0.539460539
"CA.DHJ0710"	29.3724	5160	0.515484515
"CA.BTV0730"	29.7544	4569	0.456443556
"CA.QFD0760"	30.2974	4157	0.415284715
"CA.QDD0765"	30.7474	3924	0.392007992
"CA.QFD0770"	31.1974	3687	0.368331668
"CA.DHJ0780"	31.7174	3478	0.347452547
"CA.BTV0800"	32.2574	3011	0.300799201
"CA.BTV0810"	32.5494	2712	0.270929071
"CA.BPM0820"	32.9114	2362	0.235964036
"CA.DHJ0840"	33.5514	2148	0.214585415
"CA.QDD0870"	33.9524	1945	0.194305694
"CA.QFD0880"	34.4024	1707	0.170529471
"CA.BHB0900"	35.37440516	1175	0.117382617
"CAS.BPM0920"	35.9398	816	0.081518482
"CAS.BTV0930"	36.3848	409	0.040859141	
