Wavelength,Response
285,1.19689
290,2.06287
295,3.64440
300,4.40079
305,5.56974
310,6.18861
315,6.73870
320,7.35756
325,7.83890
330,8.59528
335,9.21415
340,9.83301
345,10.58939
350,11.07073
355,11.34578
360,11.41454
365,11.48330
370,11.62083
375,11.82711
380,12.10216
385,12.51473
390,13.13360
395,13.61493
400,14.23379
405,14.71513
410,15.05894
415,15.54028
420,15.88409
425,16.29666
430,16.70923
435,16.91552
440,17.25933
445,17.46562
450,17.67191
455,17.80943
460,17.94695
465,18.01572
470,18.01572
475,18.01572
480,18.01572
485,18.01572
490,18.01572
495,17.94695
500,17.87819
505,17.80943
510,17.80943
515,17.74067
520,17.67191
525,17.53438
530,17.39686
535,17.19057
540,16.98428
545,16.77800
550,16.50295
555,16.22790
560,16.02161
565,15.74656
570,15.47151
575,15.19646
580,14.92141
585,14.64637
590,14.37132
595,14.02750
600,13.82122
605,13.54617
610,13.27112
615,13.06483
620,12.72102
625,12.51473
630,12.30845
635,12.03340
640,11.89587
645,11.55206
650,11.34578
655,11.13949
660,10.79568
665,10.52063
670,10.31434
675,10.03929
680,9.76424
685,9.55796
690,9.21415
695,9.00786
700,8.73281
705,8.45776
710,8.25147
715,7.97642
720,7.70138
725,7.49509
730,7.28880
735,6.94499
740,6.80747
745,6.53242
750,6.39489
755,6.11984
760,5.84479
765,5.70727
770,5.50098
775,5.22593
780,5.08841
785,4.88212
790,4.67583
795,4.46955
800,4.33202
805,4.12574
810,3.91945
815,3.78193
820,3.64440
825,3.43811
830,3.30059
835,3.16306
840,2.95678
845,2.81925
850,2.75049
855,2.54420
860,2.44106
865,2.33792
870,2.20039
875,2.06287
880,1.99411
885,1.85658
890,1.78782
895,1.65029
