CLEAR MAP 1								
Total pixels 	1985							
								
Name of beamline feature	Real distance (m)	Pixels from left end	Pixel fraction					
"""CA.VESPER$START"" "	0	1918	0.966246851					
"""CA.DHG0130""      "	0.3895	1764	0.888664987					
"""CA.ICT0210""      "	1.4996	1675	0.843828715					
"""CA.BTV0215""      "	1.8095	1605	0.808564232					
"""CA.BPC0220""      "	2.057	1541	0.776322418					
"""CA.DHG0225""      "	2.249	1504	0.75768262					
"""CA.ACS0230E""     "	2.3504	1482	0.746599496					
"""CA.ACS0230""      "	6.9224	1350	0.680100756					
"""CA.BPC0240""      "	7.2156	1317	0.663476071					
"""CA.DHG0245""      "	7.4046	1280	0.644836272					
"""CA.ACS0250E""     "	7.5091	1246	0.627707809					
"""CA.ACS0250""      "	12.0811	1112	0.560201511					
"""CA.BPC0260""      "	12.3744	1080	0.544080605					
"""CA.DHG0265""      "	12.5634	1044	0.525944584					
"""CA.ACS0270E""     "	12.6679	1011	0.509319899					
"""CA.ACS0270""      "	17.2399	876	0.441309824					
"""CA.BPC0310""      "	17.5664	843	0.424685139					
"""CA.DHG0320""      "	17.7669	807	0.406549118					
"""CA.SDV0340""      "	18.0264	752	0.37884131					
"""CA.QFD0350""      "	18.5094	666	0.335516373					
"""CA.QDD0355""      "	18.9494	607	0.305793451					
"""CA.QFD0360""      "	19.3894	548	0.276070529					
"""CA.DHG0385""      "	20.0519	429	0.216120907					
"""CA.BTV0390""      "	20.5964	383	0.192947103					
"""CA.BHB0400""      "	21.48011206	324	0.163224181					
"""CAS.BTV0420""     "	21.98933715	252	0.126952141					
"""CAS.ICT0430""     "	22.04168715	191	0.096221662					
"""CA.VESPER$END""   "	22.5	31	0.015617128					
								
								
								
								
CLEAR MAP 2								
Total pixels 	1976							
								
Name of beamline feature	Real distance (m)	Pixels from left end	Pixel fraction					
"""CA.BHB0400""      "	21.48011206	1939	0.981275304					
"""CA.QFD0510""      "	22.4794	1894	0.958502024					
"""CA.QDD0515""      "	22.9794	1845	0.933704453					
"""CA.QFD0520""      "	23.4794	1799	0.910425101					
"""CA.BPM0530""      "	23.8384	1741	0.881072874					
"""CA.DHJ0540""      "	24.0384	1704	0.862348178					
"""CA.DHJ0590""      "	25.2654	1537	0.777834008					
"""CA.BPM0595""      "	25.5184	1492	0.755060729					
"""CA.BTV0620""      "	25.9344	1314	0.664979757					
"""CA.BPM0690""      "	28.8084	1031	0.521761134					
"""CA.DHJ0710""      "	29.3724	994	0.503036437					
"""CA.BTV0730""      "	29.7544	888	0.449392713					
"""CA.QFD0760""      "	30.2974	818	0.413967611					
"""CA.QDD0765""      "	30.7474	770	0.389676113					
"""CA.QFD0770""      "	31.1974	724	0.366396761					
"""CA.DHJ0780""      "	31.7174	676	0.342105263						
"""CA.BTV0800""      "	32.2574	583	0.295040486					
"""CA.BTV0810""      "	32.5494	522	0.26417004					
"""CA.BPM0820""      "	32.9114	452	0.228744939					
"""CA.DHJ0840""      "	33.5514	403	0.203947368					
"""CA.QDD0870""      "	33.9524	346	0.175101215					
"""CA.QFD0880""      "	34.4024	299	0.151315789					
"""CA.BHB0900""      "	35.37440516	251	0.127024291					
"""CAS.BPM0920""     "	35.9398	133	0.067307692					
"""CAS.BTV0930""     "	36.3848	74	0.037449393					
								
